CardCode;DocNum;DocDate; DocTotal ;ItemCode;Cantidad; Precio ; LineaTotal 
CN4918;29;4/01/2016;586403;1;10;50552;505520
CN9239;14;4/01/2016;98232;12;1;5740;5740
CN9239;9;4/01/2016;98232;7;1;6377;6377
CN9239;16;4/01/2016;98232;13;1;7440;7440
CN9239;5;4/01/2016;98232;5;1;7972;7972
CN9239;24;4/01/2016;98232;15;1;8503;8503
CN9239;26;4/01/2016;98232;2;1;27953;27953
CN9239;22;4/01/2016;98232;7;1;8898;8898
CN9239;23;4/01/2016;98232;2;1;11800;11800
CN9239;7;4/01/2016;281221;2;1;236232;236232
CN9239;8;4/01/2016;281221;3;1;6200;6200
CN9239;10;4/01/2016;759160;11;1;459452;459452
CN9239;24;4/01/2016;759160;4;1;188796;188796
CN9239;6;4/01/2016;759160;13;1;6200;6200
CN5644;19;4/01/2016;472677;12;1;7959;7959
CN5644;6;4/01/2016;472677;17;1;36530;36530
CN5644;11;4/01/2016;472677;1;3;1694;5082
CN5644;29;4/01/2016;472677;2;2;6617;13234
CN5644;16;4/01/2016;472677;14;2;13988;27976
CN5644;14;4/01/2016;472677;18;3;3534;10602
CN5644;15;4/01/2016;472677;6;3;3098;9294
CN5644;4;4/01/2016;472677;10;4;2698;10792
CN5644;30;4/01/2016;472677;2;4;2624;10496
CN5644;29;4/01/2016;472677;13;6;47675;286050
CN9907;22;4/01/2016;10077;3;25;231;5775
CN9907;25;4/01/2016;10077;14;1;2912;2912
CN5231;9;4/01/2016;124537;9;2;10152;20304
CN5231;8;4/01/2016;124537;10;10;116;1160
CN5231;22;4/01/2016;124537;1;3;1358;4074
CN5231;27;4/01/2016;124537;3;3;15424;46272
CN5231;6;4/01/2016;124537;17;1;9100;9100
CN5231;24;4/01/2016;124537;5;1;5850;5850
CN5231;16;4/01/2016;124537;2;1;28351;28351
CN5074;6;4/01/2016;532288;13;400;105;42000
CN5074;2;4/01/2016;532288;11;400;119;47600
CN5074;26;4/01/2016;532288;7;40;2314;92560
CN5074;16;4/01/2016;532288;8;2;11201;22402
CN5074;10;4/01/2016;532288;19;1;5944;5944
CN5074;15;4/01/2016;532288;13;20;2594;51880
CN5074;17;4/01/2016;532288;8;20;2853;57060
CN5074;9;4/01/2016;532288;10;20;1703;34060
CN5074;3;4/01/2016;532288;13;2;15337;30674
CN5074;23;4/01/2016;532288;4;1;6319;6319
CN5074;22;4/01/2016;532288;4;1;6319;6319
CN5074;13;4/01/2016;532288;7;50;867;43350
CN5074;14;4/01/2016;532288;18;50;867;43350
CN5074;28;4/01/2016;532288;14;1;12073;12073
CN8382;24;4/01/2016;40554;2;3;13518;40554
CN9907;21;4/01/2016;246970;18;6;6442;38652
CN9907;11;4/01/2016;246970;17;4;34946;139784
CN9907;6;4/01/2016;246970;18;2;19992;39984
CN9908;25;4/01/2016;75787;2;3;15834;47502
CN9908;18;4/01/2016;75787;14;3;5944;17832
CN8278;18;4/01/2016;175160;12;40;1536;61440
CN8278;4;4/01/2016;175160;9;40;392;15680
CN8278;11;4/01/2016;175160;19;10;1891;18910
CN8278;15;4/01/2016;175160;12;10;1654;16540
CN8278;25;4/01/2016;175160;7;10;1754;17540
CN8278;11;4/01/2016;175160;6;25;236;5900
CN8278;24;4/01/2016;175160;15;25;236;5900
CN8278;11;4/01/2016;175160;9;3;10454;31362
CN9070;1;4/01/2016;128625;11;1;128625;128625
CN9239;15;4/01/2016;21780;4;2;9388;18776
CN9239;30;4/01/2016;21780;10;1;0;0
CN0589;23;4/01/2016;119072;9;20;405;8100
CN0589;29;4/01/2016;119072;12;10;1385;13850
CN0589;9;4/01/2016;119072;11;10;245;2450
CN0589;23;4/01/2016;119072;20;20;4714;94280
CN9239;5;4/01/2016;12752;17;2;4926;9852
CN9239;11;4/01/2016;12752;6;1;2500;2500
CN3362;22;4/01/2016;122993;6;50;1383;69150
CN3362;23;4/01/2016;122993;15;1;38868;38868
CN3362;27;4/01/2016;122993;4;25;599;14975
CN8996;9;4/01/2016;540000;9;20;8336;166720
CN8996;7;4/01/2016;540000;4;12;29220;350640
CN8996;11;4/01/2016;540000;19;40;566;22640
CN8804;19;4/01/2016;1005224;5;20;4510;90200
CN8804;17;4/01/2016;1005224;4;100;374;37400
CN8804;10;4/01/2016;1005224;5;100;758;75800
CN8804;6;4/01/2016;1005224;19;40;1622;64880
CN8804;28;4/01/2016;1005224;1;40;2985;119400
CN8804;6;4/01/2016;1005224;16;12;1043;12516
CN8804;3;4/01/2016;1005224;2;1;14607;14607
CN8804;1;4/01/2016;1005224;19;1;55566;55566
CN8804;13;4/01/2016;1005224;19;1;20574;20574
CN8804;11;4/01/2016;1005224;17;10;1562;15620
CN8804;10;4/01/2016;1005224;15;100;169;16900
CN8804;17;4/01/2016;1005224;14;50;558;27900
CN8804;2;4/01/2016;1005224;2;50;2408;120400
CN8804;18;4/01/2016;1005224;7;100;116;11600
CN8804;4;4/01/2016;1005224;1;1;19760;19760
CN8804;24;4/01/2016;1005224;7;4;7258;29032
CN8804;2;4/01/2016;1005224;17;6;4978;29868
CN8804;23;4/01/2016;1005224;7;1;5661;5661
CN8804;20;4/01/2016;1005224;8;3;4116;12348
CN8804;1;4/01/2016;1005224;10;4;10152;40608
CN8804;12;4/01/2016;1005224;12;20;1506;30120
CN8804;4;4/01/2016;1005224;13;1;43398;43398
CN8804;13;4/01/2016;1005224;9;2;24125;48250
